time	V(vout)
1.423086610730100e-03	-2.107585e+00
1.424637018895633e-03	-2.104704e+00
1.426365066878786e-03	-2.082963e+00
1.428721712482182e-03	-2.020794e+00
1.432538879956140e-03	-1.847021e+00
1.438600537780995e-03	-1.425228e+00
1.447643273442909e-03	-6.130888e-01
1.457575141082825e-03	3.373964e-01
1.463353575467889e-03	8.288283e-01
1.467013280711898e-03	1.072230e+00
1.469564707626889e-03	1.199738e+00
1.471432941194680e-03	1.268681e+00
1.473030626637357e-03	1.310517e+00
1.474537551083406e-03	1.335090e+00
1.476328075422465e-03	1.345230e+00
1.478661561753694e-03	1.326544e+00
1.482441947571942e-03	1.224364e+00
1.488449322606819e-03	9.185818e-01
1.497429338120792e-03	2.793660e-01
1.507439553904612e-03	-4.943798e-01
1.513272925257055e-03	-8.840365e-01
1.516959024078921e-03	-1.061931e+00
1.519525694035874e-03	-1.143154e+00
1.521403927440967e-03	-1.177959e+00
1.522994548681477e-03	-1.190325e+00
1.524515650129927e-03	-1.187065e+00
1.526319929155914e-03	-1.163965e+00
1.528648314737864e-03	-1.102295e+00
1.532420595724325e-03	-9.307538e-01
1.538415991039252e-03	-5.154223e-01
1.547382090458957e-03	2.869338e-01
1.557409439582341e-03	1.244764e+00
1.563255040587507e-03	1.741037e+00
1.566947004494091e-03	1.985476e+00
1.569517055682905e-03	2.112603e+00
1.571397504909090e-03	2.180784e+00
1.572986561768999e-03	2.221180e+00
1.574513867927596e-03	2.244744e+00
1.576319266223920e-03	2.253214e+00
1.578647236704325e-03	2.232031e+00
1.582418858055500e-03	2.125519e+00
1.588413278073384e-03	1.812068e+00
1.597378243374457e-03	1.158769e+00
1.607406984800132e-03	3.631552e-01
1.613253583155893e-03	-4.105121e-02
1.616946025206014e-03	-2.286091e-01
1.619516351949159e-03	-3.167181e-01
1.621396981716539e-03	-3.566514e-01
1.622985911128607e-03	-3.733742e-01
1.624513722749028e-03	-3.743665e-01
1.626319212221175e-03	-3.563846e-01
1.628647148887154e-03	-3.014963e-01
1.632418716503638e-03	-1.413682e-01
1.638413057070701e-03	2.548295e-01
1.647377929975042e-03	1.027238e+00
1.656698919457412e-03	1.886130e+00
1.662998712011291e-03	2.403223e+00
1.666775222290065e-03	2.643175e+00
1.669393773594359e-03	2.764261e+00
1.671305912297477e-03	2.827079e+00
1.672872633910476e-03	2.861214e+00
1.674488458740972e-03	2.879962e+00
1.676309814257225e-03	2.881265e+00
1.678631866137584e-03	2.850435e+00
1.682394081298351e-03	2.728106e+00
1.688374589105043e-03	2.389072e+00
1.697323357419956e-03	1.695817e+00
1.707534382122271e-03	8.374034e-01
1.713395203437596e-03	4.047689e-01
1.717041320564544e-03	2.027576e-01
1.719584882603157e-03	1.036308e-01
1.721447949803399e-03	5.511998e-02
1.723049287665264e-03	3.045610e-02
1.724570707198566e-03	2.190821e-02
1.726340407114363e-03	3.064981e-02
1.728681614464799e-03	7.397341e-02
1.732474265989610e-03	2.156171e-01
1.738499758235556e-03	5.828326e-01
1.747500768474364e-03	1.310527e+00
1.756215893287260e-03	2.065364e+00
1.762953481626225e-03	2.583216e+00
1.766745005111566e-03	2.804479e+00
1.769372122030215e-03	2.911273e+00
1.771289839154879e-03	2.963510e+00
1.772852636322461e-03	2.988742e+00
1.774484000914844e-03	2.998420e+00
1.776308155906591e-03	2.989323e+00
1.778629169336688e-03	2.945145e+00
1.782389733942130e-03	2.801112e+00
1.788367799576673e-03	2.427555e+00
1.797313720939177e-03	1.682610e+00
1.807571608090549e-03	7.603717e-01
1.813351471331980e-03	3.000286e-01
1.817011864036824e-03	7.578859e-02
1.819563688543815e-03	-3.872412e-02
1.821432183163314e-03	-9.834015e-02
1.823029684102059e-03	-1.323204e-01
1.824535876407152e-03	-1.495905e-01
1.826327452530566e-03	-1.512087e-01
1.828660548848441e-03	-1.216682e-01
1.832440315003451e-03	-2.515180e-03
1.838446774351606e-03	3.287507e-01
1.847425727113873e-03	1.003577e+00
1.856798119363652e-03	1.763398e+00
1.863026649233622e-03	2.205127e+00
1.866793900585128e-03	2.402517e+00
1.869407162331520e-03	2.494496e+00
1.871315853433132e-03	2.536180e+00
1.872885001547177e-03	2.553136e+00
1.874491216016801e-03	2.554177e+00
1.876310839975517e-03	2.535597e+00
1.878633534150696e-03	2.479498e+00
1.882396770172980e-03	2.316467e+00
1.888378788315382e-03	1.913322e+00
1.897329316744560e-03	1.125377e+00
1.907375728742278e-03	1.753847e-01
1.913235031934203e-03	-3.190135e-01
1.916933562696354e-03	-5.631094e-01
1.919507397098934e-03	-6.903185e-01
1.921390324562913e-03	-7.587333e-01
1.922977632181686e-03	-7.993398e-01
1.924511875524801e-03	-8.233769e-01
1.926318525098395e-03	-8.324410e-01
1.928646031513887e-03	-8.122936e-01
1.932416915411716e-03	-7.081863e-01
1.938410245023345e-03	-4.003015e-01
1.947373942142132e-03	2.412640e-01
1.957404239737183e-03	1.019978e+00
1.963251953460699e-03	1.412174e+00
1.966944930204064e-03	1.591062e+00
1.969515565073977e-03	1.672662e+00
1.971396396717051e-03	1.707595e+00
1.972985183623505e-03	1.719935e+00
1.974513560420482e-03	1.716579e+00
