time	V(transmit_electrode)
1.017021453751506e-03	4.918502e-01
1.019570587322665e-03	5.325149e-01
1.021437314891471e-03	5.546688e-01
1.023036064824250e-03	5.683156e-01
1.024547213498721e-03	5.766096e-01
1.026331669272686e-03	5.805973e-01
1.028667405808222e-03	5.763593e-01
1.032451366652813e-03	5.474389e-01
1.038464023802854e-03	4.511683e-01
1.047450166716359e-03	2.266337e-01
1.057452809661923e-03	-4.907458e-02
1.063280800958677e-03	-1.768605e-01
1.066964318428776e-03	-2.333900e-01
1.069529499539205e-03	-2.592022e-01
1.071406756987948e-03	-2.704309e-01
1.072998067367364e-03	-2.746761e-01
1.074516435330950e-03	-2.741286e-01
1.076320221228656e-03	-2.675978e-01
1.078648789694437e-03	-2.497691e-01
1.082421361297597e-03	-1.991047e-01
1.088417186286919e-03	-6.890124e-02
1.097383785294879e-03	2.053827e-01
1.107410520906160e-03	5.368889e-01
1.113255682602794e-03	6.964613e-01
1.116947435890987e-03	7.725757e-01
1.119517365695728e-03	8.117916e-01
1.121397735390147e-03	8.327088e-01
1.122986848393932e-03	8.450585e-01
1.124513931883001e-03	8.522388e-01
1.126319290013700e-03	8.547551e-01
1.128647275390340e-03	8.484902e-01
1.132418920413186e-03	8.162979e-01
1.138413375431340e-03	7.147526e-01
1.147378381435340e-03	4.816014e-01
1.158413895231303e-03	1.672844e-01
1.163857256273261e-03	4.614978e-02
1.167354143630483e-03	-9.315757e-03
1.169810543326759e-03	-3.578906e-02
1.171616044194231e-03	-4.816412e-02
1.173258204333509e-03	-5.401630e-02
1.174941843311895e-03	-5.457637e-02
1.176478384155398e-03	-5.025187e-02
1.178905945064835e-03	-3.407854e-02
1.182835561008912e-03	1.551579e-02
1.189062302162802e-03	1.465943e-01
1.198292327837716e-03	4.202979e-01
1.207043860598945e-03	6.960342e-01
1.213309039220272e-03	8.578333e-01
1.216983308307735e-03	9.271801e-01
1.219543151747325e-03	9.617705e-01
1.221416908926986e-03	9.793406e-01
1.223010691451759e-03	9.889273e-01
1.224519252623700e-03	9.933776e-01
1.226321269176405e-03	9.927545e-01
1.228650493821291e-03	9.824134e-01
1.232424108129901e-03	9.435349e-01
1.238421474680295e-03	8.311798e-01
1.247389865799411e-03	5.815654e-01
1.257596255457821e-03	2.697452e-01
1.263388768145125e-03	1.254964e-01
1.267036984309578e-03	5.842609e-02
1.269581762055106e-03	2.491605e-02
1.271445628145000e-03	7.884771e-03
1.273046401101661e-03	-1.470899e-03
1.274565578525515e-03	-5.757922e-03
1.276338499695386e-03	-5.063918e-03
1.278678512820977e-03	5.200280e-03
1.282469267390739e-03	4.369022e-02
1.288491958716558e-03	1.546026e-01
1.297489727185711e-03	3.993700e-01
1.306518502860034e-03	6.679103e-01
1.313000335052565e-03	8.258275e-01
1.316776307127902e-03	8.913572e-01
1.319394551106492e-03	9.225280e-01
1.321306489559588e-03	9.372469e-01
1.322873352090225e-03	9.440395e-01
1.324488618847515e-03	9.459723e-01
1.326309873817801e-03	9.419276e-01
1.328631962994506e-03	9.272448e-01
1.332394237434566e-03	8.814821e-01
1.338374832946167e-03	7.584729e-01
1.347323703482156e-03	4.930757e-01
1.358466120278816e-03	1.347063e-01
1.363888899740587e-03	-5.667673e-03
1.367375673424273e-03	-7.363817e-02
1.369826113019600e-03	-1.089538e-01
1.371627656751478e-03	-1.278526e-01
1.373272631414888e-03	-1.396883e-01
1.374793071674193e-03	-1.459450e-01
1.376423084912764e-03	-1.476246e-01
1.378816044546787e-03	-1.407209e-01
1.382690828416736e-03	-1.066870e-01
1.388837237124462e-03	-1.117068e-03
1.397976780375335e-03	2.356207e-01
1.407784107800359e-03	5.086763e-01
1.413478283714629e-03	6.332279e-01
1.417097353137086e-03	6.884459e-01
1.419625224528277e-03	7.136663e-01
1.421477970845679e-03	7.246046e-01
1.423086610730100e-03	7.287257e-01
1.424637018895633e-03	7.278807e-01
1.426365066878786e-03	7.213279e-01
1.428721712482182e-03	7.029080e-01
1.432538879956140e-03	6.505933e-01
1.438600537780995e-03	5.164230e-01
1.447643273442909e-03	2.353013e-01
1.457575141082825e-03	-9.738723e-02
1.463353575467889e-03	-2.578841e-01
1.467013280711898e-03	-3.354637e-01
1.469564707626889e-03	-3.760915e-01
1.471432941194680e-03	-3.982295e-01
1.473030626637357e-03	-4.118551e-01
1.474537551083406e-03	-4.201371e-01
1.476328075422465e-03	-4.241666e-01
1.478661561753694e-03	-4.199900e-01
1.482441947571942e-03	-3.912798e-01
1.488449322606819e-03	-2.955928e-01
1.497429338120792e-03	-7.233341e-02
1.507439553904612e-03	2.019381e-01
1.513272925257055e-03	3.286501e-01
1.516959024078921e-03	3.843541e-01
1.519525694035874e-03	4.095252e-01
1.521403927440967e-03	4.202512e-01
1.522994548681477e-03	4.240474e-01
1.524515650129927e-03	4.230545e-01
1.526319929155914e-03	4.159714e-01
1.528648314737864e-03	3.974047e-01
1.532420595724325e-03	3.454809e-01
1.538415991039252e-03	2.131121e-01
1.547382090458957e-03	-6.479239e-02
1.557409439582341e-03	-4.009279e-01
1.563255040587507e-03	-5.634531e-01
1.566947004494091e-03	-6.415214e-01
1.569517055682905e-03	-6.821375e-01
1.571397504909090e-03	-7.040998e-01
1.572986561768999e-03	-7.173455e-01
1.574513867927596e-03	-7.254002e-01
1.576319266223920e-03	-7.289635e-01
1.578647236704325e-03	-7.240725e-01
1.582418858055500e-03	-6.941626e-01
1.588413278073384e-03	-5.963860e-01
1.597378243374457e-03	-3.691825e-01
1.607406984800132e-03	-8.800550e-02
1.613253583155893e-03	4.337070e-02
1.616946025206014e-03	1.021169e-01
1.619516351949159e-03	1.294498e-01
1.621396981716539e-03	1.417826e-01
1.622985911128607e-03	1.469507e-01
1.624513722749028e-03	1.472951e-01
1.626319212221175e-03	1.418116e-01
1.628647148887154e-03	1.253673e-01
1.632418716503638e-03	7.701312e-02
1.638413057070701e-03	-4.935979e-02
1.647377929975042e-03	-3.176093e-01
1.656698919457412e-03	-6.208102e-01
1.662998712011291e-03	-7.915933e-01
1.666775222290065e-03	-8.678909e-01
1.669393773594359e-03	-9.065321e-01
1.671305912297477e-03	-9.267070e-01
1.672872633910476e-03	-9.379694e-01
1.674488458740972e-03	-9.445131e-01
1.676309814257225e-03	-9.456640e-01
1.678631866137584e-03	-9.376047e-01
1.682394081298351e-03	-9.025686e-01
1.688374589105043e-03	-7.965853e-01
1.697323357419956e-03	-5.565560e-01
1.707534382122271e-03	-2.543501e-01
1.713395203437596e-03	-1.139636e-01
1.717041320564544e-03	-5.053992e-02
1.719584882603157e-03	-1.956060e-02
1.721447949803399e-03	-4.376598e-03
1.723049287665264e-03	3.400623e-03
1.724570707198566e-03	6.186725e-03
1.726340407114363e-03	3.742389e-03
1.728681614464799e-03	-8.839224e-03
1.732474265989610e-03	-5.110189e-02
1.738499758235556e-03	-1.680336e-01
1.747500768474364e-03	-4.217450e-01
1.756215893287260e-03	-6.899701e-01
1.762953481626225e-03	-8.618272e-01
1.766745005111566e-03	-9.314731e-01
1.769372122030215e-03	-9.653651e-01
1.771289839154879e-03	-9.820088e-01
1.772852636322461e-03	-9.903104e-01
1.774484000914844e-03	-9.938324e-01
1.776308155906591e-03	-9.914966e-01
1.778629169336688e-03	-9.789895e-01
1.782389733942130e-03	-9.367468e-01
1.788367799576673e-03	-8.193011e-01
1.797313720939177e-03	-5.620601e-01
1.807571608090549e-03	-2.386451e-01
1.813351471331980e-03	-8.895604e-02
1.817011864036824e-03	-1.799778e-02
1.819563688543815e-03	1.811893e-02
1.821432183163314e-03	3.700968e-02
